Card   1: 20 72 30 38 18 65  6 55 70 27 | 12 28 47 50 60 17 14 25 41 95 66 88 61 52 76  5 23 77 31 32 99 89 53 54 96
Card   2: 15 98 12  3 20 60 58 54 34 18 | 98 23 12 19 61 38 11 43 58 97 63 10 49 67 44 52 88  4 22  1 42 65 20 13 25
Card   3: 47 97  2 80 89 56 66 85 62 46 | 78 97 47 14 15 85 42 66 24 28 54 46 89 62 80 56 22  5 57 52 69  2  3 95 19
Card   4: 60 59 88 14 53 46 96 29 99 37 | 52 46 92 26 72 74 99 38  7 65 43 63 39 36 44  9 56 42 79 50 89 48 85 28 27
Card   5: 44 46 42  9 65 98 97 67 72 22 | 80 14 29 39 98 64  9 46 52 24 69 22 51 65 66 20 72 21 55 12 97 42 44 41 67
Card   6: 53 92  3 77 46 68 11 23 81 88 | 42  3 92  4 23 43 62 81 51  1 29 88 35 68 84 95 59 77 11 36 53 76 49 46 34
Card   7: 66 24 96 25 11 60 15 18 67 87 | 25 66 96 11 87 31 57 56 15 18 27  1 98 40 22 60 86 80 10 97 67 24 64 59 81
Card   8: 76 38 87 23 60 16  7 18 70 14 | 50 80 91 16 89 76 63 32 26  1 38 77 35 28 68 12 97  7 43 34 37 39 98  8 70
Card   9: 72 71 34 45 75 24 66 65 23  7 | 71 58 74 65 51 83 34 66 78 45 46 24 75 80  7 72 91 94 53 28 76 96 23 48 17
Card  10:  3 86 65 97 67 20 16 96 21 26 | 26 58 82 64 16 59  4 15 72 35 67 86 93 37  3 21 65 96 85  1 68 13 62 20 76
